fare,age,embarked,pclass,sex,species,Survived
7.8292,34.5,2,3,1,F,0
7,47,1,3,0,F,0
9.6875,62,2,2,1,F,0
8.6625,27,1,3,1,T,1
12.2875,22,1,3,0,F,0
9.225,14,1,3,1,F,0
7.6292,30,2,3,0,F,0
29,26,1,2,1,F,0
7.2292,18,0,3,0,T,1
24.15,21,1,3,1,F,0
7.8958,32,1,3,1,F,0
26,46,1,1,1,F,0
82.2667,23,1,1,0,T,1
26,63,1,2,1,F,0
61.175,47,1,1,0,T,1
27.7208,24,0,2,0,T,1
12.35,35,2,2,1,F,0
7.225,21,0,3,1,T,1
7.925,27,1,3,0,F,0
7.225,45,0,3,0,T,1
59.4,55,0,1,1,T,1
3.1708,9,1,3,1,F,0
31.6833,35,1,1,0,T,1
61.3792,21,0,1,1,F,0
262.375,48,0,1,0,T,1
14.5,50,1,3,1,F,0
61.9792,22,0,1,0,T,1
7.225,22.5,0,3,1,T,1
30.5,41,1,1,1,T,1
21.6792,32,0,3,1,F,0
26,50,1,2,1,F,0
31.5,24,1,2,1,F,0
20.575,33,1,3,0,T,1
23.45,35,1,3,0,F,0
57.75,30,0,1,1,T,1
7.2292,18.5,0,3,1,T,1
8.05,21,1,3,0,F,0
8.6625,21,1,3,0,F,0
9.5,25,1,3,1,F,0
56.4958,32,1,3,1,T,1
13.4167,39,0,3,1,F,0
26.55,32,1,1,1,T,1
7.85,41,1,3,1,F,0
13,30,1,2,0,T,1
52.5542,45,1,1,0,T,1
7.925,25,1,3,1,F,0
29.7,45,0,1,1,T,1
7.75,32,2,3,1,F,0
76.2917,60,0,1,0,T,1
15.9,36,1,3,0,T,1
60,24,1,1,1,F,0
15.0333,27,0,2,1,F,0
23,20,1,2,0,T,1
263,28,1,1,0,T,1
15.5792,32,0,2,1,F,0
29.125,10,2,3,1,F,0
7.8958,35,1,3,1,F,0
7.65,25,1,3,1,F,0
16.1,32,1,3,1,F,0
262.375,36,0,1,0,T,1
7.8958,17,1,3,1,F,0
13.5,32,1,2,1,F,0
7.75,18,1,3,1,F,0
7.725,22,2,3,0,T,1
262.375,13,0,1,1,T,1
21,35,1,2,0,T,1
7.8792,18,2,3,0,T,1
42.4,47,1,1,1,F,0
28.5375,31,0,1,1,F,0
263,60,1,1,0,T,1
7.75,24,2,3,0,T,1
7.8958,21,1,3,1,F,0
7.925,29,1,3,0,F,0
27.7208,28.5,0,1,1,F,0
211.5,35,0,1,0,T,1
211.5,32.5,0,1,1,F,0
8.05,32,1,3,1,F,0
25.7,55,1,1,0,T,1
13,30,1,2,1,F,0
7.75,24,2,3,0,T,1
15.2458,6,0,3,1,T,1
221.7792,67,1,1,1,F,0
26,49,1,1,1,F,0
7.8958,32,1,3,1,F,0
10.7083,32,2,2,1,F,0
14.4542,32,0,3,1,F,0
7.8792,27,2,3,0,T,1
8.05,18,1,3,0,F,0
7.75,35,2,3,0,F,0
23,2,1,2,1,T,1
13.9,22,1,3,0,F,0
